nusr,collectiveThroughput,averageQueueLength,packetDropProb,averageWaitingTime,averageWindowSize,timeoutProb
##@@ 1
################################## users range ############################
1,734.4330873519369,0.0+-0.0,0.0,0.0,,
2,1551.6030425548506,0.015521415242796396+-8.137665990208201E-4,0.0,1.3023245129432825E-7,134.13856659847718+-0.5867081608097527,0.0
3,2380.544069515474,0.06503684702991996+-8.367755830527073E-4,0.0,1.313210511364067E-7,138.33235808056216+-0.3693401556843322,0.0
4,3196.1466491686315,0.1587351699954419+-0.0013601491169418628,0.0,2.1235120839750174E-7,140.1268816345972+-0.4327379802806257,0.0
5,4023.0422015526538,0.3202018782241333+-0.0018484625509195048,0.0,3.1707387775369495E-7,141.14184314791163+-0.3462838347024965,0.0
6,4833.778724882142,0.6174954266712595+-0.007032734034404238,0.0,9.294499441823136E-7,141.57575485731812+-0.34735205953098575,0.0
7,5652.824237338637,1.2835592357618957+-0.013688736269100745,0.0,2.0116329929772433E-6,142.04593071655387+-0.33570695778917153,0.0
8,6462.01520522253,3.294316234069691+-0.07479204611539517,0.0,1.0525848742203336E-5,131.17658890511487+-14.027222200398013,0.0
9,7233.91077286562,29.913835335462796+-8.341565362497862,6.57045191273083E-5,0.0011889028871446927,5.781570132980347+-1.2170411554350007,1.7419759200753386E-4
10,7458.443978457342,32.133583070553584+-2.049428172861754,1.0224760618690567E-5,2.9223974188416274E-4,6.995449733577374+-2.848831012433541,7.242899825648678E-5
11,7358.1421650984,39.889160960643814+-4.321980687935586,1.3925267896362445E-5,6.160646118049766E-4,2.4977013892650333+-0.3527976085584192,4.756634607477867E-5
12,7376.813276876568,36.44371145001741+-0.9370168950193769,1.2071499709414464E-5,1.3363273597898865E-4,2.4867260836854657+-0.36944842097454766,1.4857230411587032E-5
13,7225.569208687204,34.53009717617611+-1.0136739930003023,1.7883362027675983E-5,1.4451471655083372E-4,10.79473728272987+-0.11068496097497696,0.0
14,7221.285007169574,34.74971128718214+-0.480533222027787,2.4651531008478906E-5,6.852586598487841E-5,10.839580653564303+-0.016179748775233045,0.0
15,7470.431213918786,32.31684858050226+-1.1657436563950105,4.125891102049362E-5,1.6623828364192064E-4,2.12557001858067+-0.10349054055103053,5.5714614043451376E-5
